nohup: python: No such file or directory
adam_iter = 15000
bfgs_iter = 1000
Nf = 2000
save_path = ./data/2023_03_07_00_54_12
verbose = False
repeat = 1
start_epoch = 0
num_layers = 4
num_neurons = 50
(500, 1) (2000, 1)
epoch:   1899, lr: 1.000e-03, data_loss: 3.624e-01, pde_loss: 2.136e-03, cost: 101.97
epoch:   1919, lr: 1.000e-03, data_loss: 3.624e-01, pde_loss: 2.085e-03, cost: 103.57
epoch:   1939, lr: 1.000e-03, data_loss: 3.624e-01, pde_loss: 2.035e-03, cost: 104.53
epoch:   1959, lr: 1.000e-03, data_loss: 3.624e-01, pde_loss: 1.989e-03, cost: 105.48
epoch:   1979, lr: 1.000e-03, data_loss: 3.625e-01, pde_loss: 9.641e-03, cost: 106.43
epoch:   1999, lr: 1.000e-03, data_loss: 3.637e-01, pde_loss: 7.145e-02, cost: 107.36
epoch:   2019, lr: 1.000e-03, data_loss: 3.639e-01, pde_loss: 5.995e-02, cost: 108.30
epoch:   2039, lr: 1.000e-03, data_loss: 3.625e-01, pde_loss: 7.228e-03, cost: 109.23
epoch:   2059, lr: 1.000e-03, data_loss: 3.623e-01, pde_loss: 2.226e-03, cost: 110.22
epoch:   2079, lr: 1.000e-03, data_loss: 3.623e-01, pde_loss: 1.767e-03, cost: 111.24
epoch:   2099, lr: 1.000e-03, data_loss: 3.623e-01, pde_loss: 1.722e-03, cost: 112.17
epoch:   2119, lr: 1.000e-03, data_loss: 3.623e-01, pde_loss: 1.679e-03, cost: 113.09
epoch:   2139, lr: 1.000e-03, data_loss: 3.623e-01, pde_loss: 1.641e-03, cost: 114.06
epoch:   2159, lr: 1.000e-03, data_loss: 3.623e-01, pde_loss: 1.606e-03, cost: 114.97
epoch:   2179, lr: 1.000e-03, data_loss: 3.623e-01, pde_loss: 1.572e-03, cost: 115.94
epoch:   2199, lr: 1.000e-03, data_loss: 3.623e-01, pde_loss: 1.541e-03, cost: 116.89
epoch:   2219, lr: 1.000e-03, data_loss: 3.623e-01, pde_loss: 2.435e-03, cost: 117.82
epoch:   2239, lr: 1.000e-03, data_loss: 3.645e-01, pde_loss: 1.113e-01, cost: 118.73
epoch:   2259, lr: 1.000e-03, data_loss: 3.651e-01, pde_loss: 1.026e-01, cost: 119.66
epoch:   2279, lr: 1.000e-03, data_loss: 3.623e-01, pde_loss: 4.201e-03, cost: 120.59
epoch:   2299, lr: 1.000e-03, data_loss: 3.623e-01, pde_loss: 3.085e-03, cost: 121.52
epoch:   2319, lr: 1.000e-03, data_loss: 3.622e-01, pde_loss: 1.599e-03, cost: 122.45
epoch:   2339, lr: 1.000e-03, data_loss: 3.622e-01, pde_loss: 1.375e-03, cost: 123.37
epoch:   2359, lr: 1.000e-03, data_loss: 3.622e-01, pde_loss: 1.323e-03, cost: 124.31
epoch:   2379, lr: 1.000e-03, data_loss: 3.622e-01, pde_loss: 1.294e-03, cost: 125.24
epoch:   2399, lr: 1.000e-03, data_loss: 3.622e-01, pde_loss: 1.269e-03, cost: 126.18
epoch:   2419, lr: 1.000e-03, data_loss: 3.622e-01, pde_loss: 1.244e-03, cost: 127.09
epoch:   2439, lr: 1.000e-03, data_loss: 3.622e-01, pde_loss: 1.222e-03, cost: 128.02
epoch:   2459, lr: 1.000e-03, data_loss: 3.622e-01, pde_loss: 3.725e-03, cost: 129.25
epoch:   2479, lr: 1.000e-03, data_loss: 3.731e-01, pde_loss: 5.094e-01, cost: 130.65
epoch:   2499, lr: 1.000e-03, data_loss: 3.623e-01, pde_loss: 4.934e-03, cost: 131.64
epoch:   2519, lr: 1.000e-03, data_loss: 3.623e-01, pde_loss: 1.230e-02, cost: 132.58
epoch:   2539, lr: 1.000e-03, data_loss: 3.622e-01, pde_loss: 1.244e-03, cost: 133.53
epoch:   2559, lr: 1.000e-03, data_loss: 3.622e-01, pde_loss: 1.114e-03, cost: 134.45
epoch:   2579, lr: 1.000e-03, data_loss: 3.622e-01, pde_loss: 1.092e-03, cost: 135.39
epoch:   2599, lr: 1.000e-03, data_loss: 3.622e-01, pde_loss: 1.066e-03, cost: 136.30
epoch:   2619, lr: 1.000e-03, data_loss: 3.622e-01, pde_loss: 1.043e-03, cost: 137.21
epoch:   2639, lr: 1.000e-03, data_loss: 3.622e-01, pde_loss: 1.023e-03, cost: 138.13
epoch:   2659, lr: 1.000e-03, data_loss: 3.622e-01, pde_loss: 1.005e-03, cost: 139.06
epoch:   2679, lr: 1.000e-03, data_loss: 3.622e-01, pde_loss: 9.874e-04, cost: 140.03
epoch:   2699, lr: 1.000e-03, data_loss: 3.622e-01, pde_loss: 1.068e-03, cost: 141.03
epoch:   2719, lr: 1.000e-03, data_loss: 3.790e-01, pde_loss: 8.717e-01, cost: 142.22
epoch:   2739, lr: 1.000e-03, data_loss: 3.640e-01, pde_loss: 4.056e-02, cost: 143.52
epoch:   2759, lr: 1.000e-03, data_loss: 3.623e-01, pde_loss: 1.873e-02, cost: 144.48
epoch:   2779, lr: 1.000e-03, data_loss: 3.622e-01, pde_loss: 1.949e-03, cost: 145.40
epoch:   2799, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 1.114e-03, cost: 146.33
epoch:   2819, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 9.188e-04, cost: 147.25
epoch:   2839, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 8.758e-04, cost: 148.26
epoch:   2859, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 8.599e-04, cost: 149.17
epoch:   2879, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 8.443e-04, cost: 150.11
epoch:   2899, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 8.305e-04, cost: 151.03
epoch:   2919, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 8.174e-04, cost: 151.96
epoch:   2939, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 8.063e-04, cost: 152.95
epoch:   2959, lr: 1.000e-03, data_loss: 3.624e-01, pde_loss: 9.615e-03, cost: 153.90
epoch:   2979, lr: 1.000e-03, data_loss: 3.630e-01, pde_loss: 1.253e-01, cost: 154.85
epoch:   2999, lr: 1.000e-03, data_loss: 3.625e-01, pde_loss: 1.798e-02, cost: 156.66
epoch:   3019, lr: 1.000e-03, data_loss: 3.623e-01, pde_loss: 9.727e-03, cost: 157.67
epoch:   3039, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 1.669e-03, cost: 158.70
epoch:   3059, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 9.010e-04, cost: 159.63
epoch:   3079, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 7.390e-04, cost: 160.61
epoch:   3099, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 7.272e-04, cost: 161.53
epoch:   3119, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 7.145e-04, cost: 162.46
epoch:   3139, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 7.041e-04, cost: 163.38
epoch:   3159, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 6.942e-04, cost: 164.30
epoch:   3179, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 6.961e-04, cost: 165.21
epoch:   3199, lr: 1.000e-03, data_loss: 3.647e-01, pde_loss: 1.756e-01, cost: 166.13
epoch:   3219, lr: 1.000e-03, data_loss: 3.635e-01, pde_loss: 1.012e-01, cost: 167.03
epoch:   3239, lr: 1.000e-03, data_loss: 3.623e-01, pde_loss: 2.350e-02, cost: 167.93
epoch:   3259, lr: 1.000e-03, data_loss: 3.622e-01, pde_loss: 4.387e-03, cost: 168.83
epoch:   3279, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 8.152e-04, cost: 169.71
epoch:   3299, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 7.004e-04, cost: 170.61
epoch:   3319, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 6.659e-04, cost: 171.51
epoch:   3339, lr: 1.000e-03, data_loss: 3.628e-01, pde_loss: 9.668e-03, cost: 172.42
epoch:   3359, lr: 1.000e-03, data_loss: 3.622e-01, pde_loss: 2.612e-03, cost: 173.33
epoch:   3379, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 6.169e-04, cost: 174.27
epoch:   3399, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 6.637e-04, cost: 175.22
epoch:   3419, lr: 1.000e-03, data_loss: 3.623e-01, pde_loss: 1.019e-02, cost: 176.17
epoch:   3439, lr: 1.000e-03, data_loss: 3.650e-01, pde_loss: 1.545e-01, cost: 177.09
epoch:   3459, lr: 1.000e-03, data_loss: 3.624e-01, pde_loss: 1.867e-02, cost: 178.01
epoch:   3479, lr: 1.000e-03, data_loss: 3.622e-01, pde_loss: 2.098e-03, cost: 178.93
epoch:   3499, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 1.126e-03, cost: 179.83
epoch:   3519, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 7.042e-04, cost: 180.73
epoch:   3539, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 6.622e-04, cost: 181.63
epoch:   3559, lr: 1.000e-03, data_loss: 3.639e-01, pde_loss: 6.743e-02, cost: 182.52
epoch:   3579, lr: 1.000e-03, data_loss: 3.623e-01, pde_loss: 1.645e-02, cost: 183.42
epoch:   3599, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 5.913e-03, cost: 184.32
epoch:   3619, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 1.167e-03, cost: 185.22
epoch:   3639, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 8.220e-04, cost: 186.14
epoch:   3659, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 6.779e-04, cost: 187.09
epoch:   3679, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 2.943e-03, cost: 188.03
epoch:   3699, lr: 1.000e-03, data_loss: 3.638e-01, pde_loss: 1.376e-01, cost: 188.96
epoch:   3719, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 8.341e-03, cost: 189.90
epoch:   3739, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 2.916e-03, cost: 190.90
epoch:   3759, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 1.463e-03, cost: 191.81
epoch:   3779, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 8.651e-04, cost: 192.77
epoch:   3799, lr: 1.000e-03, data_loss: 3.622e-01, pde_loss: 1.969e-02, cost: 193.69
epoch:   3819, lr: 1.000e-03, data_loss: 3.624e-01, pde_loss: 1.863e-02, cost: 194.65
epoch:   3839, lr: 1.000e-03, data_loss: 3.622e-01, pde_loss: 9.356e-03, cost: 195.55
epoch:   3859, lr: 1.000e-03, data_loss: 3.621e-01, pde_loss: 5.116e-04, cost: 196.56
epoch:   3879, lr: 1.000e-03, data_loss: 3.622e-01, pde_loss: 4.868e-03, cost: 197.49
epoch:   3899, lr: 1.000e-03, data_loss: 3.649e-01, pde_loss: 1.777e-01, cost: 198.42
